tick,t_ms,joint,q,dq,q_traj,dq_traj,q_des,target,target_raw,q_env_lo,q_env_hi,lead,lead_sat,settle_error,phase,friction_mode,tau_p,tau_g,tau_f,tau_d,tau_ff_cmd,tau_meas,dq_mit,kp,kd,joint_stuck,planner_frozen,retarget_age_ms,planner_event
10,50,right_shoulder_pitch,0.004400,0.080000,0.004400,0.080000,0.004400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.095600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,3.200000,1.100000,0.080000,12.000,1.000,0,0,50,tick
11,55,right_shoulder_pitch,0.004800,0.080000,0.004800,0.080000,0.004800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.095200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,3.400000,1.100000,0.080000,12.000,1.000,0,0,55,tick
12,60,right_shoulder_pitch,0.005200,0.080000,0.005200,0.080000,0.005200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.094800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,3.600000,1.100000,0.080000,12.000,1.000,0,0,60,tick
13,65,right_shoulder_pitch,0.005600,0.080000,0.005600,0.080000,0.005600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.094400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,3.800000,1.100000,0.080000,12.000,1.000,0,0,65,tick
14,70,right_shoulder_pitch,0.006000,0.080000,0.006000,0.080000,0.006000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.094000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,4.000000,1.100000,0.080000,12.000,1.000,0,0,70,tick
15,75,right_shoulder_pitch,0.006400,0.080000,0.006400,0.080000,0.006400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.093600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,4.200000,1.100000,0.080000,12.000,1.000,0,0,75,tick
16,80,right_shoulder_pitch,0.006800,0.080000,0.006800,0.080000,0.006800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.093200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,4.400000,1.100000,0.080000,12.000,1.000,0,0,80,tick
17,85,right_shoulder_pitch,0.007200,0.080000,0.007200,0.080000,0.007200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.092800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,4.600000,1.100000,0.080000,12.000,1.000,0,0,85,tick
18,90,right_shoulder_pitch,0.007600,0.080000,0.007600,0.080000,0.007600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.092400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,4.800000,1.100000,0.080000,12.000,1.000,0,0,90,tick
19,95,right_shoulder_pitch,0.008000,0.080000,0.008000,0.080000,0.008000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.092000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,5.000000,1.100000,0.080000,12.000,1.000,0,0,95,tick
20,100,right_shoulder_pitch,0.008400,0.080000,0.008400,0.080000,0.008400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.091600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,5.200000,1.100000,0.080000,12.000,1.000,0,0,100,tick
21,105,right_shoulder_pitch,0.008800,0.080000,0.008800,0.080000,0.008800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.091200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,5.400000,1.100000,0.080000,12.000,1.000,0,0,105,tick
22,110,right_shoulder_pitch,0.009200,0.080000,0.009200,0.080000,0.009200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.090800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,5.600000,1.100000,0.080000,12.000,1.000,0,0,110,tick
23,115,right_shoulder_pitch,0.009600,0.080000,0.009600,0.080000,0.009600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.090400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,5.800000,1.100000,0.080000,12.000,1.000,0,0,115,tick
24,120,right_shoulder_pitch,0.010000,0.080000,0.010000,0.080000,0.010000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.090000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,6.000000,1.100000,0.080000,12.000,1.000,0,0,120,tick
25,125,right_shoulder_pitch,0.010400,0.080000,0.010400,0.080000,0.010400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.089600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,6.200000,1.100000,0.080000,12.000,1.000,0,0,125,tick
26,130,right_shoulder_pitch,0.010800,0.080000,0.010800,0.080000,0.010800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.089200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,6.400000,1.100000,0.080000,12.000,1.000,0,0,130,tick
27,135,right_shoulder_pitch,0.011200,0.080000,0.011200,0.080000,0.011200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.088800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,6.600000,1.100000,0.080000,12.000,1.000,0,0,135,tick
28,140,right_shoulder_pitch,0.011600,0.080000,0.011600,0.080000,0.011600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.088400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,6.800000,1.100000,0.080000,12.000,1.000,0,0,140,tick
29,145,right_shoulder_pitch,0.012000,0.080000,0.012000,0.080000,0.012000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.088000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,7.000000,1.100000,0.080000,12.000,1.000,0,0,145,tick
30,150,right_shoulder_pitch,0.012400,0.080000,0.012400,0.080000,0.012400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.087600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,7.200000,1.100000,0.080000,12.000,1.000,0,0,150,tick
31,155,right_shoulder_pitch,0.012800,0.080000,0.012800,0.080000,0.012800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.087200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,7.400000,1.100000,0.080000,12.000,1.000,0,0,155,tick
32,160,right_shoulder_pitch,0.013200,0.080000,0.013200,0.080000,0.013200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.086800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,7.600000,1.100000,0.080000,12.000,1.000,0,0,160,tick
33,165,right_shoulder_pitch,0.013600,0.080000,0.013600,0.080000,0.013600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.086400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,7.800000,1.100000,0.080000,12.000,1.000,0,0,165,tick
34,170,right_shoulder_pitch,0.014000,0.080000,0.014000,0.080000,0.014000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.086000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,8.000000,1.100000,0.080000,12.000,1.000,0,0,170,tick
35,175,right_shoulder_pitch,0.014400,0.080000,0.014400,0.080000,0.014400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.085600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,8.200000,1.100000,0.080000,12.000,1.000,0,0,175,tick
36,180,right_shoulder_pitch,0.014800,0.080000,0.014800,0.080000,0.014800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.085200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,8.400000,1.100000,0.080000,12.000,1.000,0,0,180,tick
37,185,right_shoulder_pitch,0.015200,0.080000,0.015200,0.080000,0.015200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.084800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,8.600000,1.100000,0.080000,12.000,1.000,0,0,185,tick
38,190,right_shoulder_pitch,0.015600,0.080000,0.015600,0.080000,0.015600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.084400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,8.800000,1.100000,0.080000,12.000,1.000,0,0,190,tick
39,195,right_shoulder_pitch,0.016000,0.080000,0.016000,0.080000,0.016000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.084000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,9.000000,1.100000,0.080000,12.000,1.000,0,0,195,tick
40,200,right_shoulder_pitch,0.016400,0.080000,0.016400,0.080000,0.016400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.083600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,9.200000,1.100000,0.080000,12.000,1.000,0,0,200,tick
41,205,right_shoulder_pitch,0.016800,0.080000,0.016800,0.080000,0.016800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.083200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,9.400000,1.100000,0.080000,12.000,1.000,0,0,205,tick
42,210,right_shoulder_pitch,0.017200,0.080000,0.017200,0.080000,0.017200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.082800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,9.600000,1.100000,0.080000,12.000,1.000,0,0,210,tick
43,215,right_shoulder_pitch,0.017600,0.080000,0.017600,0.080000,0.017600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.082400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,9.800000,1.100000,0.080000,12.000,1.000,0,0,215,tick
44,220,right_shoulder_pitch,0.018000,0.080000,0.018000,0.080000,0.018000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.082000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,10.000000,1.100000,0.080000,12.000,1.000,0,0,220,tick
45,225,right_shoulder_pitch,0.018400,0.080000,0.018400,0.080000,0.018400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.081600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,10.200000,1.100000,0.080000,12.000,1.000,0,0,225,tick
46,230,right_shoulder_pitch,0.018800,0.080000,0.018800,0.080000,0.018800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.081200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,10.400000,1.100000,0.080000,12.000,1.000,0,0,230,tick
47,235,right_shoulder_pitch,0.019200,0.080000,0.019200,0.080000,0.019200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.080800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,10.600000,1.100000,0.080000,12.000,1.000,0,0,235,tick
48,240,right_shoulder_pitch,0.019600,0.080000,0.019600,0.080000,0.019600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.080400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,10.800000,1.100000,0.080000,12.000,1.000,0,0,240,tick
49,245,right_shoulder_pitch,0.020000,0.080000,0.020000,0.080000,0.020000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.080000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,11.000000,1.100000,0.080000,12.000,1.000,0,0,245,tick
50,250,right_shoulder_pitch,0.020400,0.080000,0.020400,0.080000,0.020400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.079600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,11.200000,1.100000,0.080000,12.000,1.000,0,0,250,tick
51,255,right_shoulder_pitch,0.020800,0.080000,0.020800,0.080000,0.020800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.079200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,11.400000,1.100000,0.080000,12.000,1.000,0,0,255,tick
52,260,right_shoulder_pitch,0.021200,0.080000,0.021200,0.080000,0.021200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.078800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,11.600000,1.100000,0.080000,12.000,1.000,0,0,260,tick
53,265,right_shoulder_pitch,0.021600,0.080000,0.021600,0.080000,0.021600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.078400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,11.800000,1.100000,0.080000,12.000,1.000,0,0,265,tick
54,270,right_shoulder_pitch,0.022000,0.080000,0.022000,0.080000,0.022000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.078000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,12.000000,1.100000,0.080000,12.000,1.000,0,0,270,tick
55,275,right_shoulder_pitch,0.022400,0.080000,0.022400,0.080000,0.022400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.077600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,12.200000,1.100000,0.080000,12.000,1.000,0,0,275,tick
56,280,right_shoulder_pitch,0.022800,0.080000,0.022800,0.080000,0.022800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.077200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,12.400000,1.100000,0.080000,12.000,1.000,0,0,280,tick
57,285,right_shoulder_pitch,0.023200,0.080000,0.023200,0.080000,0.023200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.076800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,12.600000,1.100000,0.080000,12.000,1.000,0,0,285,tick
58,290,right_shoulder_pitch,0.023600,0.080000,0.023600,0.080000,0.023600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.076400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,12.800000,1.100000,0.080000,12.000,1.000,0,0,290,tick
59,295,right_shoulder_pitch,0.024000,0.080000,0.024000,0.080000,0.024000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.076000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,13.000000,1.100000,0.080000,12.000,1.000,0,0,295,tick
60,300,right_shoulder_pitch,0.024400,0.080000,0.024400,0.080000,0.024400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.075600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,13.200000,1.100000,0.080000,12.000,1.000,0,0,300,tick
61,305,right_shoulder_pitch,0.024800,0.080000,0.024800,0.080000,0.024800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.075200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,13.400000,1.100000,0.080000,12.000,1.000,0,0,305,tick
62,310,right_shoulder_pitch,0.025200,0.080000,0.025200,0.080000,0.025200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.074800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,13.600000,1.100000,0.080000,12.000,1.000,0,0,310,tick
63,315,right_shoulder_pitch,0.025600,0.080000,0.025600,0.080000,0.025600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.074400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,13.800000,1.100000,0.080000,12.000,1.000,0,0,315,tick
64,320,right_shoulder_pitch,0.026000,0.080000,0.026000,0.080000,0.026000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.074000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,14.000000,1.100000,0.080000,12.000,1.000,0,0,320,tick
65,325,right_shoulder_pitch,0.026400,0.080000,0.026400,0.080000,0.026400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.073600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,14.200000,1.100000,0.080000,12.000,1.000,0,0,325,tick
66,330,right_shoulder_pitch,0.026800,0.080000,0.026800,0.080000,0.026800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.073200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,14.400000,1.100000,0.080000,12.000,1.000,0,0,330,tick
67,335,right_shoulder_pitch,0.027200,0.080000,0.027200,0.080000,0.027200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.072800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,14.600000,1.100000,0.080000,12.000,1.000,0,0,335,tick
68,340,right_shoulder_pitch,0.027600,0.080000,0.027600,0.080000,0.027600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.072400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,14.800000,1.100000,0.080000,12.000,1.000,0,0,340,tick
69,345,right_shoulder_pitch,0.028000,0.080000,0.028000,0.080000,0.028000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.072000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,15.000000,1.100000,0.080000,12.000,1.000,0,0,345,tick
70,350,right_shoulder_pitch,0.028400,0.080000,0.028400,0.080000,0.028400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.071600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,15.200000,1.100000,0.080000,12.000,1.000,0,0,350,tick
71,355,right_shoulder_pitch,0.028800,0.080000,0.028800,0.080000,0.028800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.071200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,15.400000,1.100000,0.080000,12.000,1.000,0,0,355,tick
72,360,right_shoulder_pitch,0.029200,0.080000,0.029200,0.080000,0.029200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.070800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,15.600000,1.100000,0.080000,12.000,1.000,0,0,360,tick
73,365,right_shoulder_pitch,0.029600,0.080000,0.029600,0.080000,0.029600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.070400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,15.800000,1.100000,0.080000,12.000,1.000,0,0,365,tick
74,370,right_shoulder_pitch,0.030000,0.080000,0.030000,0.080000,0.030000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.070000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,16.000000,1.100000,0.080000,12.000,1.000,0,0,370,tick
75,375,right_shoulder_pitch,0.030400,0.080000,0.030400,0.080000,0.030400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.069600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,16.200000,1.100000,0.080000,12.000,1.000,0,0,375,tick
76,380,right_shoulder_pitch,0.030800,0.080000,0.030800,0.080000,0.030800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.069200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,16.400000,1.100000,0.080000,12.000,1.000,0,0,380,tick
77,385,right_shoulder_pitch,0.031200,0.080000,0.031200,0.080000,0.031200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.068800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,16.600000,1.100000,0.080000,12.000,1.000,0,0,385,tick
78,390,right_shoulder_pitch,0.031600,0.080000,0.031600,0.080000,0.031600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.068400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,16.800000,1.100000,0.080000,12.000,1.000,0,0,390,tick
79,395,right_shoulder_pitch,0.032000,0.080000,0.032000,0.080000,0.032000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.068000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,17.000000,1.100000,0.080000,12.000,1.000,0,0,395,tick
80,400,right_shoulder_pitch,0.032400,0.080000,0.032400,0.080000,0.032400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.067600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,17.200000,1.100000,0.080000,12.000,1.000,0,0,400,tick
81,405,right_shoulder_pitch,0.032800,0.080000,0.032800,0.080000,0.032800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.067200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,17.400000,1.100000,0.080000,12.000,1.000,0,0,405,tick
82,410,right_shoulder_pitch,0.033200,0.080000,0.033200,0.080000,0.033200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.066800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,17.600000,1.100000,0.080000,12.000,1.000,0,0,410,tick
83,415,right_shoulder_pitch,0.033600,0.080000,0.033600,0.080000,0.033600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.066400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,17.800000,1.100000,0.080000,12.000,1.000,0,0,415,tick
84,420,right_shoulder_pitch,0.034000,0.080000,0.034000,0.080000,0.034000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.066000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,18.000000,1.100000,0.080000,12.000,1.000,0,0,420,tick
85,425,right_shoulder_pitch,0.034400,0.080000,0.034400,0.080000,0.034400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.065600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,18.200000,1.100000,0.080000,12.000,1.000,0,0,425,tick
86,430,right_shoulder_pitch,0.034800,0.080000,0.034800,0.080000,0.034800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.065200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,18.400000,1.100000,0.080000,12.000,1.000,0,0,430,tick
87,435,right_shoulder_pitch,0.035200,0.080000,0.035200,0.080000,0.035200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.064800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,18.600000,1.100000,0.080000,12.000,1.000,0,0,435,tick
88,440,right_shoulder_pitch,0.035600,0.080000,0.035600,0.080000,0.035600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.064400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,18.800000,1.100000,0.080000,12.000,1.000,0,0,440,tick
89,445,right_shoulder_pitch,0.036000,0.080000,0.036000,0.080000,0.036000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.064000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,19.000000,1.100000,0.080000,12.000,1.000,0,0,445,tick
90,450,right_shoulder_pitch,0.036400,0.080000,0.036400,0.080000,0.036400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.063600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,19.200000,1.100000,0.080000,12.000,1.000,0,0,450,tick
91,455,right_shoulder_pitch,0.036800,0.080000,0.036800,0.080000,0.036800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.063200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,19.400000,1.100000,0.080000,12.000,1.000,0,0,455,tick
92,460,right_shoulder_pitch,0.037200,0.080000,0.037200,0.080000,0.037200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.062800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,19.600000,1.100000,0.080000,12.000,1.000,0,0,460,tick
93,465,right_shoulder_pitch,0.037600,0.080000,0.037600,0.080000,0.037600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.062400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,19.800000,1.100000,0.080000,12.000,1.000,0,0,465,tick
94,470,right_shoulder_pitch,0.038000,0.080000,0.038000,0.080000,0.038000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.062000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,20.000000,1.100000,0.080000,12.000,1.000,0,0,470,tick
95,475,right_shoulder_pitch,0.038400,0.080000,0.038400,0.080000,0.038400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.061600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,20.200000,1.100000,0.080000,12.000,1.000,0,0,475,tick
96,480,right_shoulder_pitch,0.038800,0.080000,0.038800,0.080000,0.038800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.061200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,20.400000,1.100000,0.080000,12.000,1.000,0,0,480,tick
97,485,right_shoulder_pitch,0.039200,0.080000,0.039200,0.080000,0.039200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.060800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,20.600000,1.100000,0.080000,12.000,1.000,0,0,485,tick
98,490,right_shoulder_pitch,0.039600,0.080000,0.039600,0.080000,0.039600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.060400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,20.800000,1.100000,0.080000,12.000,1.000,0,0,490,tick
99,495,right_shoulder_pitch,0.040000,0.080000,0.040000,0.080000,0.040000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.060000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,21.000000,1.100000,0.080000,12.000,1.000,0,0,495,tick
