tick,t_ms,joint,q,dq,q_traj,dq_traj,q_des,target,lead,lead_sat,settle_error,phase,friction_mode,tau_p,tau_g,tau_f,tau_d,tau_ff_cmd,tau_meas,dq_mit,kp,kd,joint_stuck,planner_frozen
27,135,shoulder_pitch,0.054000,0.080000,0.054000,0.080000,0.054000,0.100000,0.010000,0,0.046000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
28,140,shoulder_pitch,0.056000,0.080000,0.056000,0.080000,0.056000,0.100000,0.010000,0,0.044000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
29,145,shoulder_pitch,0.058000,0.080000,0.058000,0.080000,0.058000,0.100000,0.010000,0,0.042000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
30,150,shoulder_pitch,0.060000,0.080000,0.060000,0.080000,0.060000,0.100000,0.010000,0,0.040000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
31,155,shoulder_pitch,0.062000,0.080000,0.062000,0.080000,0.062000,0.100000,0.010000,0,0.038000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
32,160,shoulder_pitch,0.064000,0.080000,0.064000,0.080000,0.064000,0.100000,0.010000,0,0.036000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
33,165,shoulder_pitch,0.066000,0.080000,0.066000,0.080000,0.066000,0.100000,0.010000,0,0.034000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
34,170,shoulder_pitch,0.068000,0.080000,0.068000,0.080000,0.068000,0.100000,0.010000,0,0.032000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
35,175,shoulder_pitch,0.070000,0.080000,0.070000,0.080000,0.070000,0.100000,0.010000,0,0.030000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
36,180,shoulder_pitch,0.072000,0.080000,0.072000,0.080000,0.072000,0.100000,0.010000,0,0.028000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
37,185,shoulder_pitch,0.074000,0.080000,0.074000,0.080000,0.074000,0.100000,0.010000,0,0.026000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
38,190,shoulder_pitch,0.076000,0.080000,0.076000,0.080000,0.076000,0.100000,0.010000,0,0.024000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
39,195,shoulder_pitch,0.078000,0.080000,0.078000,0.080000,0.078000,0.100000,0.010000,0,0.022000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
